cod_material;nome_material
CCL-00000000001;DROP - INTERNO FIBRASIL
CCL-00000000009;CONECTOR - FIG8 FAC FIBRASIL
CCL-00000000017;ETIQUETA BRANCA CABO DROP
CCL-00000000022;CABO OPT FLAT LOW FRICTION SM 01F 9/125 LSZH - CINZA - C/ 0,5KM (1.2) FATURAMENTO UNIDADE
CCL-00000000076;CONECTOR REFORÇADO KIT ADAPTADOR UNIVERSAL - COM TRADUTORES FIG8
CCL-00000000102;CABO OPT FLAT LOW FRICTION SM 01F 9/125 LSZH - CINZA - C/ 0,5KM (1.0) FATURAMENTO METRO
RDE-00000000001;SPLITTER OPT. PASSIVO 1:8-10,4DB-FTTH
RDE-00000000002;KIT DERIVACAO FIST-GCO DERIVACAO RAYCHEM
RDE-00000000003;ALCA PREF P/CFOA-SM-AS-80 DE 06 A 12 FO-
RDE-00000000004;ALCA PREF P/CFOA-SM-AS-80 DE 18 A 36 FO-
RDE-00000000005;ALCA PREF P/CFOA-SM-AS-80 DE 48 A 72 FO-
RDE-00000000006;ALCA PREF P/CFOA-SM-AS-80 DE 144 FO-TS
RDE-00000000012;DROP OPTICO AS CM AR FIG8 LSZH - 4F
RDE-00000000013;CABO OPTICO CFOA-SM AS 80 12F TS
RDE-00000000014;CABO OPTICO CFOA-SM AS 80 24F TS
RDE-00000000015;CABO OPTICO CFOA-SM AS 80 36F TS
RDE-00000000016;CABO OPTICO CFOA-SM AS 80 72F TS
RDE-00000000017;CABO OPTICO CFOA-SM AS 80 144F TS
RDE-00000000018;CABO DROP CIRCULAR 5 MM 12 FIBRAS
RDE-00000000019;LACO PREF P/CFOA-SM-AS-80 DE 06 A 12 FO
RDE-00000000020;LACO PREF P/CFOA-SM-AS-80 DE 18 A 36 FO
RDE-00000000021;LACO PREF P/CFOA-SM-AS-80 DE 48 A 72 FO
RDE-00000000022;LACO PREF P/CFOA-SM-AS-80 DE 144 FO
RDE-00000000023;CONJ EMENDA OPT MEC AER SUBT - 48F 4ENT
RDE-00000000024;CONJ EMENDA AEREO/SUBT TERMOC 16ENT 144FO
RDE-00000000025;CONJ EMENDA OPT MEC AER SUBT - 72F 4ENT
RDE-00000000028;DGO GA 19 144FO EUROCARD E2000-APC C/S
RDE-00000000031;CHASSI E TAMPAO RETANG. R-2 ART C/TRAVA
RDE-00000000038;ALCA PREF P CORDOALHA DIELETRICA 6.4
RDE-00000000039;CORDOALHA DIELETRICA 6,4
RDE-00000000041;FIO DE ESPINAR DIELETRICO (130MT)
RDE-00000000042;LACO PREF. P/ CORDOALHA DIELETRICA 6,4
RDE-00000000043;SUBDUTO SINGELO RANHURADO 40MM DIAM EXT
RDE-00000000045;SUP ANCORAGEM CABO OPT AS E CORD DIELETR
RDE-00000000047;DIST INT OPT ESPELHAMENTO SC/APC 144FO
RDE-00000000048;MINI CDOE 1:2 + 1:8 PRECON SELADA 60/40
RDE-00000000049;MINI CDOE 1:2 + 1:8 PRECON SELADA 70/30
RDE-00000000050;MINI CDOE 1:2 + 1:8 PRECON SELADA 85/15
RDE-00000000051;MINI CDOE 1:2 + 1:8 PRECON SELADA 80/20
RDE-00000000052;MINI CDOE 1:2 + 1:8 PRECON SELADA 90/10
RDE-00000000053;MINI CDOE 1:8 ENTRADA E SAIDA PRECON
RDE-00000000054;CABO PRECON UNIVERSAL 5MM 100M
RDE-00000000055;CABO PRECON UNIVERSAL 5MM 200M
RDE-00000000056;CABO PRECON UNIVERSAL 5MM 300M
RDE-00000000057;CABO PRECON UNIVERSAL 5MM 400M
RDE-00000000058;CABO PRECON UNIVERSAL 5MM 500M
RDE-00000000059;CABO PRECON UNIVERSAL 5MM 600M
RDE-00000000060;POSTE CONCRETO SECAO CIRCULAR 10,5X 300
RDE-00000000061;CTOPS 1:2 + 1:8 PRE-C SELADA - 85/15 (CONECTOR SLIM)
RDE-00000000062;CTOPS 1:2 + 1:8 PRE-C SELADA - 80/20 (CONECTOR SLIM)
RDE-00000000063;CTOPS 1:2 + 1:8 PRE-C SELADA - 70/30 (CONECTOR SLIM)
RDE-00000000064;CTOPS 1:2 + 1:8 PRE-C SELADA - 60/40 (CONECTOR SLIM)
RDE-00000000065;CTOPS 1:8 PRECONECTORIZADA SELADA (CONECTOR SLIM)
RDE-00000000066;CTOPS 1:2 + 1:8 PRE-C SELADA 90/10 (CONECTOR SLIM)
RDE-00000000067;CABO PRE-CON CFOA SM DDR LSZH SC-APC144F - 150M
RDE-00000000068;CTOPS 1:2 + 1:8 PRE-C SELADA - 85/15 (CONECTOR OPTITAP)
RDE-00000000069;CTOPS 1:2 + 1:8 PRE-C SELADA - 85/15 (CONECTOR FAST)
RDE-00000000070;CTOPS 1:2 + 1:8 PRE-C SELADA - 80/20 (CONECTOR OPTITAP)
RDE-00000000071;CTOPS 1:2 + 1:8 PRE-C SELADA - 80/20 (CONECTOR FAST)
RDE-00000000072;CTOPS 1:2 + 1:8 PRE-C SELADA - 70/30 (CONECTOR OPTITAP)
RDE-00000000073;CTOPS 1:2 + 1:8 PRE-C SELADA - 70/30 (CONECTOR FAST)
RDE-00000000074;CTOPS 1:2 + 1:8 PRE-C SELADA - 60/40 (CONECTOR OPTITAP)
RDE-00000000075;CTOPS 1:2 + 1:8 PRE-C SELADA - 60/40 (CONECTOR FAST)
RDE-00000000076;CTOPS 1:8 PRECONECTORIZADA SELADA (CONECTOR OPTITAP)
RDE-00000000077;CTOPS 1:8 PRECONECTORIZADA SELADA (CONECTOR FAST)
RDE-00000000078;CTOPS 1:2 + 1:8 PRE-C SELADA 90/10 (CONECTOR OPTITAP)
RDE-00000000079;CTOPS 1:2 + 1:8 PRE-C SELADA 90/10 (CONECTOR FAST)
RDE-00000000080;CAIXA DIST. OPTICA DE EDIFICIO FUSAO CDOE 24 FUSOES
RDE-00000000083;DERIVAÇÃO T PRÉ-FORMADA P/CORDOALHA DIELÉTRICA 6,4
RDE-00000000084;SUPORTE UNIVERSAL PARA CAIXA BARRAMENTO
RDE-00000000090;CABO PRECON UNIVERSAL 5MM 150M
RDE-00000000092;CTOP 8FO SPLITER 1X8 PRECON PAD OPTITAP
RDE-00000000093;CTOP 8FO SPLIT 1X8 PRECON PAD TELEFONICA
RDE-00000000095;CAIXA HUB PARA FTTA
RDE-00000000096;SPLITTER OPTICO CONECTORIZADO 1:8 GPON
RDE-00000000097;SPLITTER OPTICO CONECTORIZADO 1:4 GPON
RDE-00000000098;SPLITTER OPTICO CONECTORIZADO 1:2 GPON
RDE-00000000099;CTOPS SPL 1X2+1X16YPRECON SELADA 70/30 (CONECTOR OPTITAP)
RDE-00000000100;CTOPS SPL 1X2+1X16 PRECON SELADA 60/40 (CONECTOR OPTITAP)
RDE-00000000101;CTOPS SPL 1:16 PRECON SELADA (CONECTOR OPTITAP)
RDE-00000000104;CABO OPTICO CFOA-SM-AS80-S 36F G-652D NR CT (ABNT CL)
RDE-00000000105;CABO OPTICO CFOA-SM-AS80-S 72F G-652D TS NR (ABNT CL)
RDE-00000000106;CABO OPTICO CFOA-SM-AS80-S 144F G-652D TS NR (ABNT CL)
RDE-00000000112;CEIP 24 (CAIXA DE EMENDA INTERNA DE PAREDE PARA 24F)
RDE-00000000113;CEIP 12 (CAIXA DE EMENDA INTERNA DE PAREDE 12F COM SPLITTER 1X8 NC/SC-APC)
RDE-00000000159;UCAO MS 8P, 1X (1X8). PHOENIX TOWER
RDE-00000000163;CABO OPTICO CFOA-SM-AS80 MINI-RA 12F G-652D NR
RDE-00000000169;35260880 - CEIP 12 (CAIXA DE EMENDA INTERNA DE PAREDE 12F COM SPLITTER 1X8 NC/SC-APC)
RDE-00000000171;35505001 - DIVISOR OPTICO PLC 1X8 BLI A/B G-657A NC/NC 2.0D0.25/2.0D0.25
RDE-00000000172;35520089 - KIT DE DERIVACAO MECANICA (FK-CEO-4M)
RDE-00000000173;35520030 - SUPORTE PARA INSTALACAO EM CORDOALHA PARA FK-CEO-4T E FK-CEO-4M
RDE-00000000174;35520387- BANDEJA DE EMENDA 24F PARA FK-CEO
RDE-00000000175;CONJ EMENDA AEREO/SUBT MECANI 4ENT FOSC100 144F MODULO BASICO (24F)
RDE-00000000176;35520780 - CAIXA TERMINAL OPTICA PRECONECTORIZADA FK-CTOP-16P (INLINE 1X8/8ADAP SLIM - IOT
RDE-00000000197;CORDAO SM SIMPLEX E2000-APC/E2000-APC 2MM AZ 3M
RDE-00000000349;SPLITTER OPT. PASSIVO 1:16-13,5DB-FTTH
RDE-00000000351;SPLITTER OPT SC-APC DGOI 24/48/64 90CM
RDE-00000000353;SPLITTER OPTICO. PASSIVO 1:2 3,5DB-FTTH
RDE-00000000354;SUPORTE DIELETRICO CABO OPTICO 11 A 19MM DUPLO)
RDE-00000000355;KIT DE DERIVACAO PARA CONJUNTO
RDE-00000000356;DERIVAÇÃO T PRÉ-FORMADA P/CORDOALHA DE AÇO 6,4
RDE-00000000357;SUPORTE DE PASSAGEM CABO OPT AS E CORD. DIELETRICA (6 A 10MM)
RDE-00000000358;CONJ. SUPORTE DE CABOS OPTICOS EM MEIO DE VAO (RAQUETE)
RDE-00000000359;SUPORT FIX CONJ EMENDA OPT CX SUBT CS
RDE-00000000361;ALCA PLASTICA ATE 6,3MM C/GANCHO METALICO
RDE-00000000364;CAIXA OPTICA 6 ADAPTADORES + PIGTAIL
RDE-00000000366;CTOPS SPL 1:16 PRECON SELADA (CONECTOR FAST)
RDE-00000000367;ALCA PREFORM P/ DROP OPT ASU ATE 12 FO
RDE-00000000368;ALÇA PRÉ-FORMADA APF 4,8MM P/ CORDOALHA DE AÇO
RDE-00000000369;ALÇA PRÉ-FORMADA APF 6,4MM P/ CORDOALHA DE AÇO
RDE-00000000442;FIO ESPINAR ISOLADO REFORCADO FEIR-125MM (130MT)
RDE-00000000445;DROP OPTICO AS CM AR FIG8 LSZH - 1F
RDE-00000000503;CFOA-SM-ASU-80-S 012FO NR
RDE-00000002361;CONJUNTO DE EMENDA ÓPTICA – CEO-II FM PLUS
RDE-00000002369;TAMPA PLASTICA PARA CTO FK-16MC FURUKAWA (FKW-DT-0032)
